bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag,vendor_name_clean,is_disqualified
9323261,SHIVDULARI ENTERPRISES PRIVATE LIMITED Under PMA,,0.0,,MSE,SHIVDULARI ENTERPRISES,False
9323261,SHREE BHOMIYAJI TROOPS PRIVATE LIMITED Under PMA,,0.0,,MSE,SHREE BHOMIYAJI TROOPS,False
9323261,SHREE SHYAM ENTERPRISES Under PMA,,0.0,,MSE,SHREE SHYAM ENTERPRISES,False
9323261,SHRI KRISHNA CONSTRUCTIONS Under PMA,,0.0,,MSE,SHRI KRISHNA CONSTRUCTIONS,False
9323261,SHRI OM MAN POWER SERVICE PROVIDER Under PMA,,0.0,,MSE,SHRI OM MAN POWER SERVICE PROVIDER,False
9323261,SHUBHAM ENTERPRISE Under PMA,,0.0,,MSE,SHUBHAM ENTERPRISE,False
9323261,SIDHESHWAR SECURITY SERVICES Under PMA,,0.0,,,SIDHESHWAR SECURITY SERVICES,False
9323261,SK ENTERPRISES SOLUTIONS LLP Under PMA,,0.0,,MSE,SK ENTERPRISES SOLUTIONS LLP,False
9323261,SNEPRA SECURE SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,SNEPRA SECURE SERVICES,False
9323261,SPSMS GLOBAL PRIVATE LIMITED Under PMA,,0.0,,MSE,SPSMS GLOBAL,False
9323261,SRA INFO SOLUTIONS Under PMA,,0.0,,MSE,SRA INFO SOLUTIONS,False
9323261,SRV ENTERPRISE Under PMA,,0.0,,MSE,SRV ENTERPRISE,False
9323261,SSS SECURITY FORCE (OPC) PRIVATE LIMITED Under PMA,,0.0,,MSE,SSS SECURITY FORCE (OPC,False
9323261,SUNSPIRE-SKY PRIVATE LIMITED Under PMA,,0.0,,MSE,SUNSPIRE-SKY,False
9323261,SUPERMAN SECURITY SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,SUPERMAN SECURITY SERVICES,False
9323261,SVIAN SECURITY PRIVATE LIMITED Under PMA,,0.0,,,SVIAN SECURITY,False
9323261,TALENT EXCEL PRIVATE LIMITED Under PMA,,0.0,,MSE,TALENT EXCEL,False
9323261,TEJASHIV MANPOWER SERVICE Under PMA,,0.0,,MSE,TEJASHIV MANPOWER SERVICE,False
9323261,TMS SECURITY SERVICES Under PMA,,0.0,,MSE,TMS SECURITY SERVICES,False
9323261,TOTAL OFFICE SOLUTION Under PMA,,0.0,,MSE,TOTAL OFFICE SOLUTION,False
9323261,TROMSO SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,TROMSO SERVICES,False
9323261,TS MANPOWER SERVICES Under PMA,,0.0,,MSE,TS MANPOWER SERVICES,False
9323261,Ujjwal common service center Under PMA,,0.0,,MSE,UJJWAL COMMON SERVICE CENTER,False
9323261,UPANYA DEVELOPERS AND MANPOWER SERVICES PRIVATE LIMITED Under PMA,,0.0,,MSE,UPANYA DEVELOPERS AND MANPOWER SERVICES,False
9323261,V K ENTERPRISES Under PMA,,0.0,,MSE,V K ENTERPRISES,False
9323261,VAISHNAVI ENTERPRISES Under PMA,,0.0,,MSE,VAISHNAVI ENTERPRISES,False
9323261,VAJRA SECURITY SERVICES Under PMA,,0.0,,,VAJRA SECURITY SERVICES,False
9323261,VAMIKA CORPORATE SERVICES Under PMA,,0.0,,MSE,VAMIKA CORPORATE SERVICES,False
9323261,VANSH MANPOWER SOLUTIONS PRIVATE LIMITED Under PMA,,0.0,,MSE,VANSH MANPOWER SOLUTIONS,False
9323261,VCS Education Healthcare & Outsourcing Under PMA,,0.0,,MSE,VCS EDUCATION HEALTHCARE & OUTSOURCING,False
9323261,VEERVAYU ASSOCIATES Under PMA,,0.0,,,VEERVAYU ASSOCIATES,False
9323261,VERTEX WORKFORCE PRIVATE LIMITED Under PMA,,0.0,,,VERTEX WORKFORCE,False
9323261,VG MANPOWER SERVICES PRIVATE LIMITED Under PMA,,0.0,,,VG MANPOWER SERVICES,False
9323261,VILOHITA SKYBUILT PRIVATE LIMITED Under PMA,,0.0,,MSE,VILOHITA SKYBUILT,False
9323261,WEBORNET PRIVATE LIMITED Under PMA,,0.0,,MSE,WEBORNET,False
9323261,WHITELION EXIM SECURITY PRIVATE LIMITED Under PMA,,0.0,,MSE,WHITELION EXIM SECURITY,False
9323261,WORLD SPACE Under PMA,,0.0,,,WORLD SPACE,False
9323261,Xumify Under PMA,,0.0,,MSE,XUMIFY,False
9323261,YASH R SOLUTION Under PMA,,0.0,,MSE,YASH R SOLUTION,False
9323261,ZEALOUS SECURATOR PRIVATE LIMITED Under PMA,,0.0,,MSE,ZEALOUS SECURATOR,False
